Context,Original,Translation,Comments
# encoding UTF-8
# __init__.py
"*","anmファイル置き場","anm文件存储"
"*","設定すれば、anmを扱う時は必ずここからファイル選択を始めます","如果设置，则在处理anm时总是从此处开始选择文件"
"*","anmエクスポート時のデフォルトパス","导出anm时的默认路径"
"*","anmエクスポート時に最初はここが表示されます、エクスポート毎に保存されます","导出anm时，首先显示该内容，并为每次导出保存该内容。"
"*","anmインポート時のデフォルトパス","导入anm时的默认路径"
"*","anmインポート時に最初はここが表示されます、インポート毎に保存されます","导入anm时会首先显示，并在每次导入后保存。"
"*","バックアップの拡張子 (空欄で無効)","备用扩展名（空白）"
"*","エクスポート時にバックアップを作成時この拡張子で複製します、空欄でバックアップを無効","在导出时创建备份时与此扩展名重复，在空白处禁用备份"
"*","Display Type","显示类型"
"*","Octahedral","八面体"
"*","Display bones as octahedral shape (default).","将骨骼显示为八面体形状（默认）。"
"*","Stick","戳"
"*","Display bones as simple 2D lines with dots.","将骨骼显示为带点的简单2D线。"
"*","B-Bone","骨"
"*","Display bones as boxes, showing subdivision and B-Splines.","将骨骼显示为框，显示细分和B样条曲线。"
"*","Envelope","信封"
"*","Display bones as extruded spheres, showing deformation influence volume.","将骨骼显示为挤压球体，显示变形影响量。"
"*","Wire","金属丝"
"*","Display bones as thin wires, showing subdivision and B-Splines.","将骨骼显示为细线，显示细分和B样条曲线。"
"*","CM3D2インストールフォルダ","CM3D2安装文件夹"
"*","変更している場合は設定しておくと役立つかもしれません","如果您进行了更改，则进行设置可能会很有用"
"*","CM3D2用法線のブレンド率","CM3D2使用率混合率"
"*","texファイル置き場","tex文件存储"
"*","texファイルを探す時はここから探します","搜索tex文件时在此处搜索"
"*","モディファイアを適用","应用修饰符"
"*","基本的にボーン名/ウェイト名をBlender用に変換","基本上为Blender转换骨骼名称/重量名称"
"*","modelインポート時にボーン名/ウェイト名を変換するかどうかのオプションのデフォルトを設定します","设置导入模型时转换骨骼/重量名称的默认选项"
"*","基本的にtexファイルを探す","基本上寻找tex文件"
"*","texファイルを探すかどうかのオプションのデフォルト値を設定します","设置用于查找tex文件的选项的默认值"
"*","mateファイル置き場","配合文件存储"
"*","設定すれば、mateを扱う時は必ずここからファイル選択を始めます","如果设置，则在与伴侣打交道时，文件选择将始终从此处开始"
"*","mateエクスポート時のデフォルトパス","配合导出时的默认路径"
"*","mateエクスポート時に最初はここが表示されます、エクスポート毎に保存されます","导出配合时首先显示，每次导出时保存"
"*","mateインポート時のデフォルトパス","配合导入时的默认路径"
"*","mateインポート時に最初はここが表示されます、インポート毎に保存されます","导入配合时会首先显示，并为每次导入保存。"
"*","同じ設定値が2つ以上ある場合削除","如果有两个或多个相同的设置值，则删除"
"*","_ShadowColor など","_ShadowColor等"
"*",".menu Default Path",".menu默认路径"
"*","If set. The file selection will open here.","如果已设置，文件选择将在此处打开。"
"*",".menu Default Export Path",".menu默认导出路径"
"*","When exporting a .menu file. The file selection prompt will begin here.","导出.menu文件时，文件选择提示将从此处开始。"
"*",".menu Default Import Path",".menu默认导入路径"
"*","When importing a .menu file. The file selection prompt will begin here.","导入.menu文件时，文件选择提示将从此处开始。"
"*","modelファイル置き場","模型文件存储"
"*","設定すれば、modelを扱う時は必ずここからファイル選択を始めます","如果设置，则在处理模型时，文件选择将始终从此处开始"
"*","modelエクスポート時のデフォルトパス","导出模型时的默认路径"
