"Context","Original","Translation","Comments"
# encoding UTF-8
# misc_DATA_PT_context_arm
"*","CM3D2 → Blender","CM3D2 → Blender"
"*","Blender → CM3D2","Blender → CM3D2"
"*","Armature Operators","Armature Operators"
"*","object.add_cm3d2_twist_bones","object.add_cm3d2_twist_bones"
"*","Connect Twist Bones","Connect Twist Bones"
"*","object.cleanup_scale_bones","object.cleanup_scale_bones"
"*","Cleanup Scale Bones","Cleanup Scale Bones"
"*","CM3D2用","CM3D2用"
"*","Armature State: Primed","Armature State: Primed"
"*","Armature State: Normal","Armature State: Normal"
"*","Original","Original"
"*","Pose data","Pose data"
"*","元の素体ポーズに戻す","Revert Primed Pose"
# misc_DATA_PT_context_arm.?2
# misc_DATA_PT_context_arm add_cm3d2_body_sliders
"*","Add CM3D2 Twist Bones","Add CM3D2 Twist Bones"
"*","Adds drivers to armature to automatically set twist-bone positions.","Adds drivers to armature to automatically set twist-bone positions."
"*","Scale","Scale"
"*","The amount by which the mesh is scaled when imported. Recommended that you use the same when at the time of export.","The amount by which the mesh is scaled when imported. Recommended that you use the same when at the time of export."
"*","Fix Thigh","Fix Thigh"
"*","Fix twist bone values for the thighs in motor-cycle pose","Fix twist bone values for the thighs in motor-cycle pose"
"*","Drive Shape Keys","Drive Shape Keys"
"*","Connect sliders to mesh children's shape keys","Connect sliders to mesh children's shape keys"
"*","WARNING: Could not find bone \","WARNING: Could not find bone \"
"*","Scale","Scale"
"*","The amount by which the mesh is scaled when imported. Recommended that you use the same when at the time of export.","The amount by which the mesh is scaled when imported. Recommended that you use the same when at the time of export."
"*","HeadX","HeadX"
"*","Size of face (left to right)","Size of face (left to right)"
"*","HeadY","HeadY"
"*","Size of face (up and down)","Size of face (up and down)"
"*","DouPer","DouPer"
"*","Leg length","Leg length"
"*","sintyou","sintyou"
"*","Height","Height"
"*","BreastSize","BreastSize"
"*","Breast size","Breast size"
"*","MuneTare","MuneTare"
"*","Breast sagging level","Breast sagging level"
"*","MuneUpDown","MuneUpDown"
"*","Position of the nipple","Position of the nipple"
"*","MuneYori","MuneYori"
"*","Direction of breast","Direction of breast"
"*","west","west"
"*","Waist","Waist"
"*","Hara","Hara"
"*","Belly","Belly"
"*","kata","kata"
"*","Shoulder width","Shoulder width"
"*","ArmL","ArmL"
"*","Size of arms","Size of arms"
"*","UdeScl","UdeScl"
"*","Length of arms","Length of arms"
"*","KubiScl","KubiScl"
"*","Length of neck","Length of neck"
"*","koshi","koshi"
"*","Hip","Hip"
"*","RegFat","RegFat"
"*","Leg thickness","Leg thickness"
"*","RegMeet","RegMeet"
"*","Leg definition","Leg definition"
"*","MuneL","MuneL"
"*","munel shapekey value","munel shapekey value"
"*","MuneS","MuneS"
"*","munes shapekey value","munes shapekey value"
"*","height","height"
"*","weight","weight"
"*","bust","bust"
"*","waist","waist"
"*","hip","hip"
"*","cup","cup"
"*","ERROR: Active object is not an armature","ERROR: Active object is not an armature"
"*","ERROR: There is no 3D View Present in the current workspace","ERROR: There is no 3D View Present in the current workspace"
"*","Make Scale Bone: ","Make Scale Bone: "
"*","WARNING: Could not find bone \","WARNING: Could not find bone \"
"*","Scale","Scale"
"*","The amount by which the mesh is scaled when imported. Recommended that you use the same when at the time of export.","The amount by which the mesh is scaled when imported. Recommended that you use the same when at the time of export."
"*","This property never has a value","This property never has a value"
"*","Empty","Empty"
"*","This property never has a value","This property never has a value"
"*","Enable All","Enable All"
