環境,元の,翻訳,コメント 
# encoding UTF-8
# __init__.py
"*","Display Type","画面タイプ"
"*","Octahedral","八面体"
"*","Display bones as octahedral shape (default).","ボーンを八面体形状として表示します（デフォルト）。"
"*","Stick","スティック"
"*","Display bones as simple 2D lines with dots.","ボーンをドット付きの単純な2Dラインとして表示します。"
"*","B-Bone","Bボーン"
"*","Display bones as boxes, showing subdivision and B-Splines.","ボーンをボックスとして表示し、サブディビジョンとBスプラインを表示します。"
"*","Envelope","封筒"
"*","Display bones as extruded spheres, showing deformation influence volume.","ボーンを押し出された球として表示し、変形がボリュームに影響を与えることを示します。"
"*","Wire","ワイヤー"
"*","Display bones as thin wires, showing subdivision and B-Splines.","ボーンを細いワイヤとして表示し、細分割とBスプラインを表示します。"
"*",".menu Default Path",".menuデフォルトパス"
"*","If set. The file selection will open here.","設定されている場合。ここでファイルの選択が開きます。"
"*",".menu Default Export Path",".menuデフォルトのエクスポートパス"
"*","When exporting a .menu file. The file selection prompt will begin here.",".menuファイルをエクスポートする場合。ここからファイル選択プロンプトが始まります。"
"*",".menu Default Import Path",".menuデフォルトのインポートパス"
"*","When importing a .menu file. The file selection prompt will begin here.",".menuファイルをインポートする場合。ここからファイル選択プロンプトが始まります。"
"*","_Color","_Color"
"*","_Cutoff","_Cutoff"
"*","_Cutout","_Cutout"
"*","_HiPow","_HiPow"
"*","_HiRate","_HiRate"
"*","_OutlineColor","_OutlineColor"
"*","_OutlineWidth","_OutlineWidth"
"*","_RimColor","_RimColor"
"*","_RimPower","_RimPower"
"*","_RimShift","_RimShift"
"*","_ShadowColor","_ShadowColor"
"*","_Shininess","_Shininess"
"*","_ZTest","_ZTest"
"*","_ZTest2","_ZTest2"
"*","_ZTest2Alpha","_ZTest2Alpha"
"*","Show Bone Axes","骨軸を表示する"
"*","Display bone axes","ボーン軸を表示する"
"*","Show Bone Shapes","骨の形を表示する"
"*","Display bones with their custom shapes","カスタムシェイプでボーンを表示する"
"*","Show Bone Group Colors","ボーングループの色を表示する"
"*","Display bone group colors","ボーングループの色を表示する"
"*","Make the object draw in front of others","オブジェクトを他の人の前に描画させます"
"*","Show Bone Names","ボーン名を表示する"
"*","Display bone names","ボーン名を表示する"
# anm_export.py
"*","Export Method","エクスポート方法"
"*","Creating missing FCurve for {path}[{index}]","{path} [{index}]の欠落しているFCurveを作成する"
"*","Creating missing keyframe @ frame {frame} for {path}[{index}]","{path} [{index}]の欠落しているキーフレーム@フレーム{frame}を作成しています"
# anm_import.py
"*","Unexpected first channel id = {id} (should be 1).","予期しない最初のチャネルID = {id}（1である必要があります）。"
"*","Found the following tangent values:","次のタンジェント値が見つかりました："
"*","Found the above tangent values.","上記のタンジェント値が見つかりました。"
"*","Found {count} large tangents. Blender animation may not interpolate properly. See log for more info.","{count}の大きな接線が見つかりました。 Blenderアニメーションが正しく補間されない場合があります。詳細については、ログを参照してください。"
"*","Found the following unknown channel IDs:","次の不明なチャネルIDが見つかりました。"
"*","Found the above unknown channel IDs.","上記の不明なチャネルIDが見つかりました。"
"*","Found {count} unknown channel IDs. Blender animation may be missing some keyframes. See log for more info.","{count}個の不明なチャネルIDが見つかりました。 Blenderアニメーションにいくつかのキーフレームがない可能性があります。詳細については、ログを参照してください。"
"*","f1 = {float1}, f2 = {float2}","f1 = {float1}、f2 = {float2}"
"*","id = {id}","id = {id}"
"*","Unknown channel id {num}","不明なチャネルID {num}"
# common.py
"*","CNV_SelectorItem","CNV_SelectorItem"
"*","Filter 0","フィルタ0"
"*","Filter 1","フィルター1"
"*","Filter 2","フィルター2"
"*","Filter 3","フィルター3"
"*","Icon","アイコン"
"*","CNV_UL_generic_selector","CNV_UL_generic_selector"
# menu_OBJECT_PT_cm3d2_menu.py
"Operator","Align Attach Point to Selected","アタッチポイントを選択したものに揃えます"
"Operator","Align Selected to Attach Point","選択した位置をアタッチポイントに揃えます"
