Context,Original,Translation,Comments
# encoding UTF-8
# __init__.py
"*","anmファイル置き場",".anm Default Path"
"*","設定すれば、anmを扱う時は必ずここからファイル選択を始めます","If set. The file selection will open here."
"*","anmエクスポート時のデフォルトパス",".anm Default Export Path"
"*","anmエクスポート時に最初はここが表示されます、エクスポート毎に保存されます","When exporting a .anm file. The file selection prompt will begin here."
"*","anmインポート時のデフォルトパス",".anm Default Import Path"
"*","anmインポート時に最初はここが表示されます、インポート毎に保存されます","When importing a .anm file. The file selection prompt will begin here."
"*","バックアップの拡張子 (空欄で無効)","Backup Extension (Must not be left blank)"
"*","エクスポート時にバックアップを作成時この拡張子で複製します、空欄でバックアップを無効","The previous Model file with the same name will be given an extension."
"*","Display Type","Display Type"
"*","Octahedral","Octahedral"
"*","Display bones as octahedral shape (default).","Display bones as octahedral shape (default)."
"*","Stick","Stick"
"*","Display bones as simple 2D lines with dots.","Display bones as simple 2D lines with dots."
"*","B-Bone","B-Bone"
"*","Display bones as boxes, showing subdivision and B-Splines.","Display bones as boxes, showing subdivision and B-Splines."
"*","Envelope","Envelope"
"*","Display bones as extruded spheres, showing deformation influence volume.","Display bones as extruded spheres, showing deformation influence volume."
"*","Wire","Wire"
"*","Display bones as thin wires, showing subdivision and B-Splines.","Display bones as thin wires, showing subdivision and B-Splines."
"*","CM3D2インストールフォルダ","CM3D2 Location"
"*","変更している場合は設定しておくと役立つかもしれません","You should set the correct directory if you used a different one."
"*","CM3D2用法線のブレンド率","Custom Normal Blend"
"*","texファイル置き場","Tex file search area"
"*","texファイルを探す時はここから探します","Search here for tex files"
"*","モディファイアを適用","Apply Modifiers"
"*","基本的にボーン名/ウェイト名をBlender用に変換","Convert weight names for Blender"
"*","modelインポート時にボーン名/ウェイト名を変換するかどうかのオプションのデフォルトを設定します","Will change the options default when importing or exporting."
"*","基本的にtexファイルを探す","Search for Tex File"
"*","texファイルを探すかどうかのオプションのデフォルト値を設定します","Sets the default of the option to search for tex files"
"*","mateファイル置き場",".mate Default Path"
"*","設定すれば、mateを扱う時は必ずここからファイル選択を始めます","If set, .mate file selection will open here"
"*","mateエクスポート時のデフォルトパス",".mate Default Export Path"
"*","mateエクスポート時に最初はここが表示されます、エクスポート毎に保存されます","When exporting a .mate file. The file selection prompt will begin here."
"*","mateインポート時のデフォルトパス",".mate Default Import Path"
"*","mateインポート時に最初はここが表示されます、インポート毎に保存されます","When importing a .mate file. The file selection prompt will begin here."
"*","同じ設定値が2つ以上ある場合削除","Delete if there are two or more same values"
"*","_ShadowColor など","_ShadowColor"
"*",".menu Default Path",".menu Default Path"
"*","If set. The file selection will open here.","If set .menu file selection will open here."
"*",".menu Default Export Path",".menu Default Export Path"
"*","When exporting a .menu file. The file selection prompt will begin here.","When exporting a .menu file. The file selection prompt will begin here."
"*",".menu Default Import Path",".menu Default Import Path"
"*","When importing a .menu file. The file selection prompt will begin here.","When importing a .menu file. The file selection prompt will begin here."
"*","modelファイル置き場","Model Default Path"
"*","設定すれば、modelを扱う時は必ずここからファイル選択を始めます","If set .model file selection will open here"
"*","modelエクスポート時のデフォルトパス","Model Default Export Path"
"*","modelエクスポート時に最初はここが表示されます、エクスポート毎に保存されます","When exporting a .model file. The file selection prompt will begin here."
"*","modelインポート時のデフォルトパス","Model Default Import Path"
"*","modelインポート時に最初はここが表示されます、インポート毎に保存されます","When importing a .model file. The file selection prompt will begin here."
"*","_Color","_Color"
"*","_Cutoff","_Cutoff"
"*","_Cutout","_Cutout"
"*","_HiPow","_HiPow"
"*","_HiRate","_HiRate"
"*","_OutlineToonRamp 名前","_OutlineToonRamp Name"
"*","_OutlineToonRamp パス","_OutlineToonRamp Path"
"*","_OutlineColor","_OutlineColor"
"*","_OutlineWidth","_OutlineWidth"
"*","_RimColor","_RimColor"
"*","_RimPower","_RimPower"
"*","_RimShift","_RimShift"
"*","_ShadowColor","_ShadowColor"
"*","_ShadowRateToon 名前","_ShadowRateToon Name"
"*","_ShadowRateToon パス","_ShadowRateToon Path"
"*","_Shininess","_Shininess"
"*","テクスチャのオフセット","Texture Offset"
"*","テクスチャのスケール","Texture Scale"
"*","_ToonRamp 名前","_ToonRamp Name"
"*","_ToonRamp パス","_ToonRamp Path"
"*","_ZTest","_ZTest"
"*","_ZTest2","_ZTest2"
"*","_ZTest2Alpha","_ZTest2Alpha"
"*","Blenderでモデルを扱うときの拡大率","The scale at which the models are imported and exported"
"*","Show Bone Axes","Show Bone Axes"
"*","Display bone axes","Display bone axes"
"*","Show Bone Shapes","Show Bone Shapes"
"*","Display bones with their custom shapes","Display bones with their custom shapes"
"*","Show Bone Group Colors","Show Bone Group Colors"
"*","Display bone group colors","Display bone group colors"
"*","Make the object draw in front of others","Make the object draw in front of others"
"*","Show Bone Names","Show Bone Names"
"*","Display bone names","Display bone names"
"*","無変更シェイプキーをスキップ","Skip Unchanged Shape Keys"
"*","ベースと同じシェイプキーを出力しない","Shapekeys that are the same as the basis shapekey will not be imported."
"*","設定すれば、texを扱う時は必ずここからファイル選択を始めます",".tex Default Path"
"*","texエクスポート時のデフォルトパス",".tex Default Export Path"
"*","texエクスポート時に最初はここが表示されます、エクスポート毎に保存されます","When exporting a .tex file. The file selection prompt will begin here."
"*","texインポート時のデフォルトパス",".tex Default Import Path"
"*","texインポート時に最初はここが表示されます、インポート毎に保存されます","When importing a .tex file. The file selection prompt will begin here."
# anm_export.py
"*","カスタムメイド3D2のanmファイルを保存します","Allows you to export a pose to a .anm file."
"*","ボーン親情報の参照先","Destination of bone parent information"
"*","Export Method","Export Method"
"*","Bake All Frames","Bake All Frames"
"*","Export every frame as a keyframe (legacy behavior, large file sizes)","Export every frame as a keyframe (legacy behavior, large file sizes)"
"*","Only Export Keyframes","Only Export Keyframes"
"*","Only export keyframes and their tangents (for more advance users)","Only export keyframes and their tangents (for more advance users)"
"*","From Anm Text JSON","From Anm Text JSON"
"*","Export data from the JSON in the 'AnmData' text file","Export data from the JSON in the 'AnmData' text file"
"*","最終フレーム","Last Frame"
"*","開始フレーム","Starting Frame"
"*","同じ変形のキーフレームを掃除","Clean Keyframes"
"*","親も子も存在しない","Remove Loose Bones"
"*","名前がIK/Nubっぽい","Remove IK Bones"
"*","名前に日本語が含まれる","Remove Japanese Characters from Bones"
"*","名前が連番付き","Remove Duplicate Numbers"
"*","Remove Unkeyed Bones","Remove Unkeyed Bones"
"*","キーフレーム間の変形をスムーズに","Smooth Transitions"
"*","Use Visual Transforms","Use Visual Transforms"
"*","キーフレーム数","Number of Key Frames"
"*","再生速度","Playback Speed"
"*","除外するボーン","Bones to Exclude"
"*","輸出アニメーション情報","Animation Data to Export"
"*","Creating missing FCurve for {path}[{index}]","Creating missing FCurve for {path}[{index}]"
"*","Creating missing keyframe @ frame {frame} for {path}[{index}]","Creating missing keyframe @ frame {frame} for {path}[{index}]"
# anm_import.py
"*","カスタムメイド3D2のanmファイルを読み込みます","Loads a CM3D2 .anm file."
"*","Twisterボーンを除外","Exclude Twister Bones"
"*","Anm Text","Anm Text"
"*","Output Data to a JSON file","Output Data to a JSON file"
"*","位置","Location"
"*","Loop","Loop"
"*","回転","Rotation"
"*","拡縮","Scale"
"*","Tangents","Tangents"
"*","既にあるアニメーションを削除","Remove previous Animation"
"*","フレーム開始・終了位置を調整","Set Frame Range"
"*","Set Framerate","Set Framerate"
"*","Change the scene's render settings to 60 fps","Change the scene's render settings to 60 fps"
"*","読み込むアニメーション情報","Animation Data to Load"
"*","これはカスタムメイド3D2のモーションファイルではありません","This is not a CM3D2 animation file."
"*","Unexpected first channel id = {id} (should be 1).","Unexpected first channel id = {id} (should be 1)."
"*","Found the following tangent values:","Found the following tangent values:"
"*","Found the above tangent values.","Found the above tangent values."
"*","Found {count} large tangents. Blender animation may not interpolate properly. See log for more info.","Found {count} large tangents. Blender animation may not interpolate properly. See log for more info."
"*","Found the following unknown channel IDs:","Found the following unknown channel IDs:"
"*","Found the above unknown channel IDs.","Found the above unknown channel IDs."
"*","Found {count} unknown channel IDs. Blender animation may be missing some keyframes. See log for more info.","Found {count} unknown channel IDs. Blender animation may be missing some keyframes. See log for more info."
"*","f1 = {float1}, f2 = {float2}","f1 = {float1}, f2 = {float2}"
"*","id = {id}","id = {id}"
"*","Unknown channel id {num}","Unknown channel id {num}"
# cm3d2_data.py
"*","mateファイルではありません。ヘッダ:{}","The .mate file has an invalid header: {}"
"*","Materialプロパティに未知の設定値タイプ({prop})が見つかりました。","Unknown setting value '{prop}' was found in the material!"
# common.py
"*","CNV_SelectorItem","CNV_SelectorItem"
"*","Filter 0","Filter 0"
"*","Filter 1","Filter 1"
"*","Filter 2","Filter 2"
"*","Filter 3","Filter 3"
"*","Prefered","Prefered"
"*","Value","Value"
"*","CNV_UL_generic_selector","CNV_UL_generic_selector"
# mate_export.py
"Operator","mateとして保存","Export Material"
"*","表示しているマテリアルをmateファイルとして保存します","Export material as a seperate .mate file"
"*","名前1","Name 1"
"*","名前2","Name 2"
"*","表示しているテキストデータをmateファイルとして保存します","This will allow you to save any text in the text editor as a .mate file"
"*","mateファイルの出力に失敗、中止します。 構文を見直して下さい。","Failed to ouput the mate file. Operation was cancelled. Review your material."
# mate_import.py
"Operator","mateを開く","Import Material"
"*","mateファイルをマテリアルとして開きます","Import a .mate file as a material"
"*","mateファイルをテキストとして開きます","Import a .mate file into the text editor as text"
"*","現在のテキストに上書き","Overwrites current text in the text editor"
"*","mateファイルのインポートを中止します。","This is not a CM3D2 .mate file"
"*","上書きする為のテキストデータが見つかりません","Text data could not be overwritten"
# menu_OBJECT_PT_cm3d2_menu.py
"Operator","Align Attach Point to Selected","Align Attach Point to Selected"
"*","Align the active CM3D2Menu's active attach point to the first other selected object","Align the active CM3D2Menu's active attach point to the first other selected object"
"Operator","Align Selected to Attach Point","Align Selected to Attach Point"
"*","Align other selected objects to the active object's active CM3D2 attach point","Align other selected objects to the active object's active CM3D2 attach point"
"Operator","Add Command","Add Command"
"*","Adds a new CM3D2MenuCommand to the active CM3D2Menu","Adds a new CM3D2MenuCommand to the active CM3D2Menu"
"*","String","String"
"*","Type","Type"
"*","End","End"
"*","Menu Name","Menu Name"
"*","Menu Category","Menu Category"
"*","Menu Description","Menu Description"
"*","Priority","Priority"
"*","Folder","Folder"
"*","Icon (Small)","Icon (Small)"
"*","Icon (Large)","Icon (Large)"
"*","Unused","Unused"
"*","Item Version","Item Version"
"*","Item Category","Item Category"
"*","Item Category Number","Item Category Number"
"*","Item","Item"
"*","Item Conditions","Item Conditions"
"*","Item If","Item If"
"*","Item Parameters","Item Parameters"
"*","Item Half Off","Item Half Off"
"*","Item Resource Reference","Item Resource Reference"
"*","Set","Set"
"*","Set Name","Set Name"
"*","Set Slot Item","Set Slot Item"
"*","Add Item","Add Item"
"*","Unset Item","Unset Item"
"*","Disable Item Floor","Disable Item Floor"
"*","Mask Item","Mask Item"
"*","Delete Item","Delete Item"
"*","Node Hide","Node Hide"
"*","Node Display","Node Display"
"*","Parts-Node Hide","Parts-Node Hide"
"*","Parts-Node Display","Parts-Node Display"
"*","Color","Color"
"*","Man Color","Man Color"
"*","Color-Set","Color-Set"
"*","Texture","Texture"
"*","Texture Change","Texture Change"
"*","Texture Multiplication","Texture Multiplication"
"*","Texture Composition","Texture Composition"
"*","Texture Set Composition","Texture Set Composition"
"*","Material Change","Material Change"
"*","Material Properties","Material Properties"
"*","Shader","Shader"
"*","Face Blend-Set","Face Blend-Set"
"*","Face Parameter-Set","Face Parameter-Set"
"*","Profile Comment Type","Profile Comment Type"
"*","Bone Morph","Bone Morph"
"*","Hair Length","Hair Length"
"*","Animation","Animation"
"*","Animation (Material)","Animation (Material)"
"*","Parameter 2","Parameter 2"
"*","Set String","Set String"
"*","Decorative","Decorative"
"*","addattribute","addattribute"
"*","Custom","Custom"
"*","Some other manually entered miscillaneous command","Some other manually entered miscillaneous command"
"Operator","Move Command","Move Command"
"*","Moves the active CM3D2MenuCommand up/down in the list","Moves the active CM3D2MenuCommand up/down in the list"
"*","Direction","Direction"
"*","Up","Up"
